OSM tag,Rating,Reviews,Details,Rating keys
tourism-alpine_hut,1,1,0,booking_hotel_room service placepage_hotel_facilities
tourism-apartment,1,1,0,booking_hotel_room service placepage_hotel_facilities
tourism-artwork,1,1,0,experience value_for_money
tourism-attraction,1,1,0,experience value_for_money
tourism-camp_site,1,1,0,rating
tourism-chalet,1,1,0,booking_hotel_room service placepage_hotel_facilities
tourism-guest_house,1,1,1,booking_hotel_room service placepage_hotel_facilities
tourism-hostel,1,1,1,booking_hotel_room service placepage_hotel_facilities
tourism-hotel,1,1,1,booking_hotel_room service placepage_hotel_facilities
tourism-information,1,1,0,rating
tourism-information-guidepost,1,1,0,rating
tourism-information-office,1,1,0,quality service value_for_money
tourism-motel,1,1,1,booking_hotel_room service placepage_hotel_facilities
tourism-museum,1,1,0,experience service value_for_money
tourism-picnic_site,1,1,0,rating
tourism-resort,1,1,0,booking_hotel_room service placepage_hotel_facilities
tourism-theme_park,1,1,0,experience service value_for_money
tourism-viewpoint,1,1,0,experience value_for_money
tourism-wilderness_hut,1,1,0,booking_hotel_room service placepage_hotel_facilities
tourism-wilderness_hut,1,1,0,rating
tourism-zoo,1,1,0,experience service value_for_money
waterway-canal,1,1,0,rating
waterway-river,1,1,0,rating
waterway-stream,1,1,0,rating
waterway-waterfall,1,1,0,experience value_for_money
