Kyrgyzstan	Kyrgyzstan
Germany_Berlin & Brandenburg	Germany_Berlin
Germany_Berlin & Brandenburg	Germany_Brandenburg_North
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Bremen_Munster
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Braunschweig
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Oldenburg
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Bremen_Bremen
Germany_Bremen & Lower Saxony	Germany_Lower Saxony_Hannover
Germany_Hamburg	Germany_Lower Saxony_Bremen_Bremen
Germany_Hamburg	Germany_Hamburg_main
Germany_Hesse	Germany_Hesse_Regierungsbezirk Darmstadt
Germany_Hesse	Germany_Hesse_Regierungsbezirk Kassel
Germany_Hesse	Germany_Hesse_Regierungsbezirk Giessen
Germany_Mecklenburg-Vorpommern	Germany_Mecklenburg-Vorpommern
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Detmold
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Recklinghausen
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Dortmund
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Dusseldorf
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Mulheim
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Arnsberg_Arnsberg
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Munster_Munster
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Koln
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Koln_Aachen
Germany_North Rhine-Westphalia	Germany_North Rhine-Westphalia_Regierungsbezirk Dusseldorf_Wesel
Germany_Rhineland-Palatinate	Germany_Rhineland-Palatinate_South
Germany_Rhineland-Palatinate	Germany_Rhineland-Palatinate_Koblenz
Germany_Saarland	Germany_Saarland
Germany_Saxony	Germany_Saxony_Leipzig
Germany_Saxony	Germany_Saxony_Dresden
Germany_Saxony-Anhalt	Germany_Saxony-Anhalt_Halle
Germany_Saxony-Anhalt	Germany_Saxony-Anhalt_Magdeburg
Cocos Islands	Australia_Western Australia
Puerto Rico	US_Puerto Rico
Cocos Island	Costa Rica
Czech Republic	Czech_Jihozapad_Jihocesky kraj
Czech Republic	Czech_Jihovychod_Jihomoravsky kraj
Czech Republic	Czech_Stredni Cechy_West
Czech Republic	Czech_Karlovasky kraj
Czech Republic	Czech_Severovychod_Kralovehradecky kraj
Czech Republic	Czech_Moravskoslezsko
Czech Republic	Czech_Praha
Czech Republic	Czech_Severovychod_Pardubicky kraj
Czech Republic	Czech_Olomoucky kraj
Czech Republic	Czech_Stredni Cechy_East
Czech Republic	Czech_Zlinsky Kraj
Czech Republic	Czech_Jihovychod_Kraj Vysocina
Czech Republic	Czech_Ustecky kraj
Czech Republic	Czech_Severovychod_Liberecky kraj
Czech Republic	Czech_Jihozapad_Plzensky kraj
Denmark	Denmark_North Denmark Region
Denmark	Denmark_Central Denmark Region
Denmark	Denmark_Region Zealand
Denmark	Denmark_Capital Region of Denmark
Denmark	Denmark_Region of Southern Denmark
Colombia	Colombia_North
Colombia	Colombia_West
Colombia	Colombia_East
Cook Islands	Cook Islands
Costa Rica	Costa Rica
Guadalupe Island	Mexico_California
Crimea	Crimea
Cuba	Cuba
Japan_Kanto	Japan_Kanto_Tochigi
Japan_Kanto	Japan_Kanto_Chiba
Japan_Kanto	Japan_Kanto_Kanagawa
Japan_Kanto	Japan_Kanto_Tokyo
Japan_Kanto	Japan_Kanto_Gunma
Japan_Kanto	Japan_Kanto_Ibaraki
Japan_Kanto	Japan_Kanto_Saitama
Japan_Kinki	Japan_Kinki Region_Wakayama
Japan_Kinki	Japan_Shikoku Region_Kyoto
Japan_Kinki	Japan_Kinki Region_Nara
Japan_Kinki	Japan_Kinki Region_Osaka_Osaka
Japan_Kinki	Japan_Kinki Region_Mie
Japan_Kinki	Japan_Kinki Region_Osaka_West
Japan_Kyushu	Japan_Kyushu Region_Okinawa
Japan_Kyushu	Japan_Kyushu Region_Kagoshima
Japan_Kyushu	Japan_Kyushu Region_Miyazaki
Japan_Kyushu	Japan_Kyushu Region_Oita
Japan_Kyushu	Japan_Kyushu Region_Kumamoto
Japan_Kyushu	Japan_Kyushu Region_Saga
Japan_Kyushu	Japan_Kyushu Region_Fukuoka
Japan_Kyushu	Japan_Kyushu Region_Nagasaki
Japan_Tohoku	Japan_Tohoku_Fukushima
Japan_Tohoku	Japan_Tohoku_Miyagi
Japan_Tohoku	Japan_Tohoku_Aomori
Japan_Tohoku	Japan_Tohoku_Iwate
Japan_Tohoku	Japan_Tohoku_Yamagata
Japan_Tohoku	Japan_Tohoku_Akita
Jersey	Jersey
Jordan	Jordan
Kazakhstan	Kazakhstan_South
Kazakhstan	Kazakhstan_North
Kenya	Kenya
USA_Indiana	US_Indiana_Indianapolis
USA_Indiana	US_Indiana_North
USA_Indiana	US_Indiana_Evansville
USA_Iowa	US_Iowa_Waterloo
USA_Iowa	US_Iowa_West
USA_Iowa	US_Iowa_Des Moines
USA_Kansas	US_Kansas_Wichita
USA_Kansas	US_Kansas_West
USA_Kansas	US_Kansas_East
USA_Kentucky	US_Kentucky_East
USA_Kentucky	US_Kentucky_Louisville
USA_Kentucky	US_Kentucky_West
USA_Louisiana	US_Louisiana_New Orleans
USA_Louisiana	US_Louisiana_Central
USA_Maine	US_Maine
USA_Maryland	US_Maryland_and_DC
USA_Maryland	US_Maryland_Baltimore
USA_Massachusetts	US_Massachusetts_Central
USA_Massachusetts	US_Massachusetts_Southeastern
USA_Massachusetts	US_Massachusetts_Plymouth
USA_Massachusetts	US_Massachusetts_West
USA_Massachusetts	US_Massachusetts_Boston
USA_Michigan	US_Michigan_Detroit
USA_Michigan	US_Michigan_Grand Rapids
USA_Michigan	US_Michigan_Lansing
USA_Michigan	US_Michigan_North
USA_Minnesota	US_Minnesota_Minneapolis
USA_Minnesota	US_Minnesota_North
USA_Minnesota	US_Minnesota_Rochester
USA_Minnesota	US_Minnesota_Saint Cloud
USA_Mississippi	US_Mississippi_North
USA_Mississippi	US_Mississippi_Gulfport
USA_Missouri	US_Missouri_St Louis
USA_Missouri	US_Missouri_Kansas
USA_Missouri	US_Missouri_East
USA_Missouri	US_Missouri_Springfield
USA_Montana	US_Montana_West
USA_Montana	US_Montana_East
USA_Nebraska	US_Nebraska_West
USA_Nebraska	US_Nebraska_East
USA_Nevada	US_Nevada
USA_New Hampshire	US_New Hampshire
USA_New Jersey	US_New Jersey_South
USA_New Jersey	US_New Jersey_North
USA_New Mexico	US_New Mexico_Albuquerque
USA_New Mexico	US_New Mexico_Roswell
USA_New York	US_New York_East
USA_New York	US_New York_West
USA_New York	US_New York_North
USA_New York	US_New York_New York
USA_North Carolina	US_North Carolina_Raleigh
USA_North Carolina	US_North Carolina_Asheville
USA_North Carolina	US_North Carolina_Greensboro
USA_North Carolina	US_North Carolina_Charlotte
USA_North Carolina	US_North Carolina_Wilson
USA_North Carolina	US_North Carolina_Wilmington
USA_North Dakota	US_North Dakota_East
USA_North Dakota	US_North Dakota_Bismarck
USA_North Dakota	US_North Dakota_Minot
USA_Ohio	US_Ohio_Columbus
USA_Ohio	US_Ohio_Cincinnati
USA_Ohio	US_Ohio_Cleveland
USA_Ohio	US_Ohio_Toledo
USA_Oklahoma	US_Oklahoma_East
USA_Oklahoma	US_Oklahoma_Tulsa
USA_Oklahoma	US_Oklahoma_Oklahoma
USA_Oklahoma	US_Oklahoma_West
USA_Oregon	US_Oregon_West
USA_Oregon	US_Oregon_Portland
USA_Oregon	US_Oregon_Eugene
USA_Pennsylvania	US_Pennsylvania_Central
USA_Pennsylvania	US_Pennsylvania_Scranton
USA_Pennsylvania	US_Pennsylvania_Reading
USA_Pennsylvania	US_Pennsylvania_Pittsburgh
USA_Rhode Island	US_Rhode Island
Burma	Myanmar
Guinea	Guinea
Guinea-Bissau	Guinea-Bissau
Guyana	Guyana
Iceland	Iceland
India	India_Goa
India	India_Lakshadweep
India	India_Sikkim
India	India_Tamil Nadu
India	India_Kerala
India	India_Andhra Pradesh
India	India_Delhi
India	India_Maharashtra
India	India_Uttar Pradesh
India	India_Jharkhand
India	India_Mizoram
India	India_Karnataka_North
India	India_Karnataka_South
India	India_Telangana
India	India_Haryana
India	India_Gujarat
India	India_Rajasthan
India	India_Madhya Pradesh
India	India_West Bengal
India	India_Tripura
India	India_Odisha
India	India_Bihar
India	India_Chhattisgarh
India	India_Andaman and Nicobar Islands
India	India_Uttarakhand
India	India_Assam
India	India_Meghalaya
India	India_Arunachal Pradesh
India	India_Manipur
India	India_Nagaland
India	India_Himachal Pradesh
India	India_Jammu and Kashmir
India	India_Punjab
India	India_Chandigarh
Indonesia	Indonesia_Jawa Barat
Indonesia	East Timor
Indonesia	Indonesia_West
Indonesia	Indonesia_Jawa Tengah
Indonesia	Indonesia_Central
Indonesia	Indonesia_Jawa Timur
Indonesia	Indonesia_Nusa Tenggara
Indonesia	Indonesia_East
Iran	Iran_South
Iran	Iran_East
Iran	Iran_North
Iraq	Iraq_South
Iraq	Iraq_North
Ireland	Ireland_Leinster
Ireland	Ireland_Northern Counties
Ireland	Ireland_Connacht
Ireland	Ireland_Munster
Isle of Man	Isle of Man
Israel	Jerusalem
Israel	Israel
Italy	Italy_Calabria
Italy	Italy_Abruzzo
Italy	Italy_Sardinia
Italy	Italy_Tuscany_Massa e Carrara
Italy	Italy_Basilicata
Italy	Italy_Apulia
Italy	Italy_Tuscany_Grosseto
Italy	Italy_Campania
Italy	Italy_Lombardy_Cremona
Italy	Italy_Veneto_Verona
Italy	Italy_Piemont_Vercelli
Italy	Italy_Lombardy_Monza and Brianza
Italy	Vatican City
Italy	Italy_Molise
Italy	Italy_Lazio
Italy	Italy_Piemont_Asti
Italy	Italy_Lombardy_Lecco
Italy	Italy_Lombardy_Lodi
Italy	Italy_Liguria
Italy	Italy_Emilia-Romagna_Piacenza
Italy	Italy_Emilia-Romagna_Modena
Italy	Italy_Trentino-Alto Adige Sudtirol
Italy	Italy_Friuli-Venezia Giulia_Udine
Italy	Italy_Sicily
Italy	Italy_Lombardy_Sondrio
Italy	Italy_Piemont_Alessandria
Italy	Italy_Emilia-Romagna_Reggio Emilia
Italy	Italy_Lombardy_Bergamo
Italy	Italy_Lombardy_Brescia
Italy	Italy_Lombardy_Varese
Italy	Italy_Lombardy_Pavia
Italy	Italy_Emilia-Romagna_Ferrara
Italy	Italy_Friuli-Venezia Giulia_Trieste
Italy	Italy_Veneto_Venezia
Italy	Italy_Veneto_Vicenza
Italy	Italy_Veneto_Belluno
Italy	Italy_Friuli-Venezia Giulia_Pordenone
Italy	Italy_Piemont_Cuneo
Italy	Italy_Piemont_Novara
Italy	Italy_Lombardy_Milan
Italy	Italy_Lombardy_Mantua
Italy	Italy_Emilia-Romagna_Bologna
Italy	Italy_Emilia-Romagna_Parma
Italy	Italy_Aosta Valley
Italy	San Marino
Italy	Italy_Umbria
Italy	Italy_Lombardy_Como
Italy	Italy_Piemont_Verbano-Cusio-Ossola
Italy	Italy_Friuli-Venezia Giulia_Gorizia
Italy	Italy_Veneto_Rovigo
Italy	Italy_Marche
Italy	Italy_Emilia-Romagna_Forli-Cesena
Italy	Italy_Emilia-Romagna_Rimini
Italy	Italy_Emilia-Romagna_Ravenna
Italy	Italy_Piemont_Biella
Italy	Italy_Veneto_Padova
Italy	Italy_Veneto_Treviso
Italy	Italy_Piemont_Torino
Ivory Coast	Cote dIvoire
Jamaica	Jamaica
Japan_Chubu	Japan_Chubu Region_Niigata
Japan_Chubu	Japan_Chubu Region_Ishikawa
Japan_Chubu	Japan_Chubu Region_Yamanashi
Japan_Chubu	Japan_Chubu Region_Gifu
Japan_Chubu	Japan_Chubu Region_Nagano
Japan_Chubu	Japan_Chubu Region_Aichi_Nagoya
Japan_Chubu	Japan_Chubu Region_Toyama
Japan_Chubu	Japan_Chubu Region_Fukui
Japan_Chubu	Japan_Chubu Region_Shizuoka
Japan_Chubu	Japan_Chubu Region_Aichi_Toyohashi
Mauritius	Mauritius
Micronesia	Federated States of Micronesia
Moldova	Moldova
Nepal	Nepal_West
Nepal	Nepal_Purwanchal
Nepal	Nepal_Kathmandu
Nepal	Nepal_Madhyamanchal
Netherlands	Netherlands_Groningen
Netherlands	Netherlands_Gelderland_North
Netherlands	Netherlands_North Holland_Amsterdam
Netherlands	Netherlands_North Holland_Zaandam
Netherlands	Netherlands_Utrecht_Utrecht
Netherlands	Netherlands_Zeeland
Netherlands	Netherlands_North Brabant_Roosendaal
Netherlands	Netherlands_Friesland
Netherlands	Netherlands_Gelderland_Zutphen
Netherlands	Netherlands_North Brabant_Eindhoven
Netherlands	Netherlands_Utrecht_Amersfoort
Netherlands	Netherlands_South Holland_Rotterdam
Netherlands	Netherlands_Overijssel_Enschede
Netherlands	Netherlands_North Holland_Alkmaar
Netherlands	Netherlands_Flevoland
Netherlands	Netherlands_Drenthe
Netherlands	Netherlands_South Holland_Brielle
Netherlands	Netherlands_Overijssel_Zwolle
Netherlands	Netherlands_Gelderland_Nijmegen
Netherlands	Netherlands_North Brabant_Uden
Netherlands	Netherlands_North Brabant_Tiburg
Netherlands	Netherlands_South Holland_Den Haag
Netherlands	Netherlands_South Holland_Leiden
Netherlands	Netherlands_Limburg
Netherlands Antilles	Caribisch Nederland
Netherlands Antilles	Caribbees
New Caledonia	France_New Caledonia
New Zealand	New Zealand North_Wellington
New Zealand	New Zealand South_Southland
New Zealand	New Zealand South_Canterbury
New Zealand	New Zealand North_Auckland
Nicaragua	Nicaragua
Niger	Niger
Nigeria	Nigeria_South
Nigeria	Nigeria_North
Niue	Niue
North Korea	North Korea
Northern Mariana Islands	US_Guam
Afghanistan	Afghanistan
Albania	Albania
Algeria	Algeria_Central
Algeria	Algeria_Coast
American Samoa	Samoa
Andorra	Andorra
Angola	Angola
Anguilla	Anguilla
Anguilla	Caribbees
Antigua and Barbuda	Antigua and Barbuda
Antigua and Barbuda	Caribbees
Argentina	Argentina_Patagonia
Argentina	Argentina_Mesopotamia
Argentina	Argentina_Buenos Aires_South
Argentina	Argentina_Cuyo
Argentina	Argentina_Northwest
Argentina	Argentina_Pampas
Argentina	Argentina_Santa Fe
Argentina	Argentina_Buenos Aires_Buenos Aires
Argentina	Argentina_Buenos Aires_North
Armenia	Armenia
Aruba	Caribisch Nederland
Australia	Australia_Melbourne
Australia	Australia_Western Australia
Australia	Australia_Victoria
Australia	Australia_Sydney
Australia	Australia_New South Wales
Australia	Australia_Tasmania
Australia	Australia_South Australia
Australia	Australia_Northern Territory
Australia	Australia_Brisbane
Australia	Australia_Queensland
Austria	Austria_Lower Austria_West
Austria	Austria_Lower Austria_Wien
Austria	Austria_Upper Austria_Wels
Austria	Austria_Styria_Graz
Austria	Austria_Carinthia
Austria	Austria_Burgenland
Austria	Austria_Upper Austria_Linz
Austria	Austria_Salzburg
Austria	Austria_Tyrol
Austria	Austria_Styria_Leoben
Austria	Austria_Vorarlberg
Azerbaijan	Nagorno-Karabakh
Azerbaijan	Azerbaijan
Bahamas	The Bahamas
Bahrain	Bahrain
Belarus	Belarus_Vitebsk Region
Belarus	Belarus_Minsk Region
Belarus	Belarus_Hrodna Region
Belarus	Belarus_Brest Region
Belarus	Belarus_Maglieu Region
Belarus	Belarus_Homiel Region
Belgium	Belgium_Antwerp
Belgium	Belgium_West Flanders
Belgium	Belgium_Limburg
Belgium	Belgium_Flemish Brabant
Belgium	Belgium_Walloon Brabant
Belgium	Belgium_East Flanders
Belgium	Belgium_Namur
Belgium	Belgium_Hainaut
Belgium	Belgium_Liege
Belgium	Belgium_Luxembourg
Qatar	Qatar
Saint Martin	Saint Martin
Saint Martin	Caribbees
Saint Pierre and Miquelon	Canada_Newfoundland_South
Senegal	Senegal
Serbia	Serbia
Seychelles	Seychelles
Sierra Leone	Sierra Leone
Slovakia	Slovakia_Region of Kosice
Slovakia	Slovakia_Region of Zilina
Slovakia	Slovakia_Region of Presov
Slovakia	Slovakia_Region of Trencin
Slovakia	Slovakia_Region of Banska Bystrica
Slovakia	Slovakia_Region of Bratislava
Slovakia	Slovakia_Region of Nitra
Slovakia	Slovakia_Region of Trnava
Slovenia	Slovenia_East
Slovenia	Slovenia_West
Socorro Island	Mexico_California
Solomon Islands	Solomon Islands
Kiribati	Kiribati
Kosovo	Republic of Kosovo
Luxembourg	Luxembourg
Macedonia	Macedonia
Malpelo Island	Colombia_West
Marshall Islands	Marshall Islands
Taiwan	Taiwan_South
Taiwan	Taiwan_North
Tajikistan	Tajikistan
Tanzania	Tanzania
Thailand	Thailand_South
Thailand	Thailand_North
Thailand	Thailand_Central
Togo	Togo
Tokelau	Tokelau
Tonga	Tonga
Trinidad and Tobago	Trinidad and Tobago
Trinidad and Tobago	Caribbees
South Africa	South Africa_Western Cape
South Africa	South Africa_Limpopo
South Africa	South Africa_KwaZulu-Natal
South Africa	South Africa_Mpumalanga
South Africa	South Africa_Gauteng
South Africa	South Africa_Eastern Cape
South Africa	Kingdom of Lesotho
South Africa	South Africa_Northern Cape
South Africa	South Africa_North West
South Africa	South Africa_Free State
South Georgia and the South Sandwich Islands	South Georgia and the South Sandwich Islands
South Korea	South Korea_North
South Korea	South Korea_South
South Sudan	South Sudan
Spain	Spain_Canary Islands
Spain	Spain_Castile-La Mancha
Spain	Spain_Aragon
Spain	Spain_Extremadura
Spain	Gibraltar
Spain	Spain_Castile and Leon_West
Spain	Spain_Castile and Leon_East
Spain	Spain_Region de Murcia
Spain	Spain_Balearic Islands
Spain	Spain_Ceuta
Spain	Spain_Andalusia_Granada
Spain	Spain_Valencian Community
Spain	Spain_Comunidad Foral de Navarra
Spain	Spain_Catalonia_Provincia de Tarragona
Spain	Spain_Catalonia_Provincia de Lleida
Spain	Spain_La Rioja
Spain	Spain_Community of Madrid
Spain	Spain_Galicia_South
Spain	Spain_Melilla
Spain	Spain_Catalonia_Provincia de Girona
Spain	Spain_Catalonia_Provincia de Barcelona
Spain	Spain_Andalusia_Sevilla
Spain	Spain_Cantabria
Spain	Spain_Basque Country
Spain	Spain_Principado de Asturias
Spain	Spain_Galicia_North
Sri Lanka	Sri Lanka
Sudan	Sudan_West
Sudan	Sudan_East
Suriname	Suriname
Svalbard and Jan Mayen	Norway_Svalbard
Swaziland	Swaziland
Sweden	Sweden_Vastra Gotaland
Sweden	Sweden_Bergslagen
Sweden	Sweden_Norra Sverige
Sweden	Sweden_Mellannorrland
Sweden	Sweden_Ostra Gotaland
Sweden	Sweden_Stockholm
Sweden	Sweden_Malardalen
Sweden	Sweden_Sodra Gotaland
Switzerland	Switzerland_Eastern
Switzerland	Switzerland_Northwestern
Switzerland	Switzerland_Central
Switzerland	Switzerland_Espace Mittelland_East
Switzerland	Switzerland_Lake Geneva region
Switzerland	Switzerland_Zurich
Switzerland	Switzerland_Ticino
Switzerland	Switzerland_Espace Mittelland_Bern
UK_England	UK_England_North East England
UK_England	UK_England_South West England_Bristol
UK_England	UK_England_West Midlands
UK_England	Belgium_West Flanders
UK_England	UK_England_South East_Brighton
UK_England	UK_England_South West England_Cornwall
UK_England	UK_England_East Midlands
UK_England	UK_England_East of England_Essex
UK_England	UK_England_Yorkshire and the Humber
UK_England	Guernsey
UK_England	UK_England_Greater London
UK_England	UK_England_South East_Oxford
UK_England	UK_England_East of England_Norfolk
UK_England	UK_England_North West England_Manchester
UK_England	UK_England_North West England_Lancaster
UK_Northern Ireland	UK_Northern Ireland
UK_Scotland	UK_Scotland_North
UK_Scotland	UK_Scotland_South
UK_Wales	UK_Wales
Uganda	Uganda
Ukraine	Ukraine_Khmelnytskyi Oblast
Ukraine	Ukraine_Sumy Oblast
Ukraine	Ukraine_Volyn Oblast
Ukraine	Ukraine_Chernihiv Oblast
Ukraine	Ukraine_Zhytomyr Oblast
Ukraine	Ukraine_Kyiv Oblast
Ukraine	Ukraine_Dnipropetrovsk Oblast
Ukraine	Ukraine_Rivne Oblast
Ukraine	Ukraine_Lviv Oblast
Ukraine	Ukraine_Ternopil Oblast
Ukraine	Ukraine_Zaporizhia Oblast
Ukraine	Ukraine_Poltava Oblast
Ukraine	Ukraine_Luhansk Oblast
Ukraine	Ukraine_Cherkasy Oblast
Ukraine	Ukraine_Vinnytsia Oblast
Ukraine	Ukraine_Kharkiv Oblast
Ukraine	Ukraine_Donetsk Oblast
Ukraine	Ukraine_Zakarpattia Oblast
Ukraine	Ukraine_Ivano-Frankivsk Oblast
Ukraine	Ukraine_Kirovohrad Oblast
Ukraine	Ukraine_Chernivtsi Oblast
Ukraine	Ukraine_Odessa Oblast
Ukraine	Ukraine_Kherson Oblast
Ukraine	Ukraine_Mykolaiv Oblast
United Arab Emirates	Qatar
United Arab Emirates	United Arab Emirates
USA_Alabama	US_Alabama_Birmingham
USA_Alabama	US_Alabama_Montgomery
USA_Alaska	US_Alaska
USA_Arizona	US_Arizona_Flagstaff
USA_Arizona	US_Arizona_Phoenix
USA_Arizona	US_Arizona_Tucson
USA_Arkansas	US_Arkansas_South
USA_Arkansas	US_Arkansas_North
USA_California	US_California_Sacramento_Fresno
USA_California	US_California_Sacramento_Sacramento
USA_California	US_California_San Diego
USA_California	US_California_Santa_Clara_Santa Cruz
USA_California	US_California_Santa_Clara_Palo Alto
USA_California	US_California_Chico
